0,1,2
8.5818806990921345e-16,6.386944023733065e-05,2.981669637762473e-05
9.098487526693623e-16,6.393579459547971e-05,2.9847673128706932e-05
9.64398757593847e-16,6.400194269903938e-05,2.9878553592263414e-05
1.0219872857611882e-15,6.406788572267855e-05,2.9909338316674593e-05
1.0827705975417666e-15,6.413362483015709e-05,2.9940027845228152e-05
1.1469123156936473e-15,6.419916117446596e-05,2.9970622716184437e-05
1.2145837401206032e-15,6.426449589796484e-05,3.0001123462840713e-05
1.2859641746876041e-15,6.43296301325179e-05,3.0031530613594527e-05
1.3612412665005394e-15,6.439456499962695e-05,3.0061844692005912e-05
1.4406113580688363e-15,6.445930161056283e-05,3.009206621685868e-05
1.5242798527815926e-15,6.452384106649432e-05,3.0122195702220614e-05
1.6124615941402105e-15,6.458818445861521e-05,3.0152233657502823e-05
1.7053812592032287e-15,6.465233286826937e-05,3.0182180587518067e-05
1.8032737667119535e-15,6.471628736707359e-05,3.0212036992538168e-05
1.9063847003787514e-15,6.478004901703869e-05,3.0241803368350506e-05
2.014970747833365e-15,6.484361887068867e-05,3.027148020631365e-05
2.1293001557365564e-15,6.490699797117786e-05,3.030106799341207e-05
2.249653201584566e-15,6.497018735240634e-05,3.0330567212309998e-05
2.3763226827423044e-15,6.503318803913357e-05,3.0359978341404473e-05
2.5096144232581444e-15,6.509600104709019e-05,3.0389301854877567e-05
2.6498477990281986e-15,6.515862738308795e-05,3.0418538222747647e-05
2.7973562818937873e-15,6.52210680451283e-05,3.0447687910920137e-05
2.952488003271161e-15,6.528332402250893e-05,3.0476751381237192e-05
3.1156063379294472e-15,6.53453962959288e-05,3.0505729091526783e-05
3.2870905085485194e-15,6.540728583759165e-05,3.053462149565097e-05
3.467336211706368e-15,6.546899361130774e-05,3.056342904355345e-05
3.6567562659619115e-15,6.553052057259427e-05,3.0592152181306396e-05
3.85578128271781e-15,6.559186766877404e-05,3.062079135115654e-05
4.064860360564893e-15,6.565303583907272e-05,3.064934699157056e-05
4.28446180382944e-15,6.571402601471473e-05,3.067781953727988e-05
4.5150738660620556e-15,6.57748391190175e-05,3.070620941932463e-05
4.757205519227703e-15,6.583547606748443e-05,3.073451706509706e-05
5.011387249374364e-15,6.589593776789653e-05,3.076274289838433e-05
5.278171879579491e-15,6.595622512040247e-05,3.0790887339410555e-05
5.558135420992754e-15,6.601633901760748e-05,3.081895080487828e-05
5.851877952815145e-15,6.607628034466085e-05,3.084693370800936e-05
6.160024532075589e-15,6.613604997934226e-05,3.087483645858524e-05
6.483226134087973e-15,6.619564879214657e-05,3.0902659462986534e-05
6.8221606244939555e-15,6.625507764636766e-05,3.09304031242322e-05
7.17753376381927e-15,6.631433739818092e-05,3.095806784201802e-05
7.550080245494989e-15,6.637342889672447e-05,3.0985654012754505e-05
7.940564768317697e-15,6.643235298417931e-05,3.101316202960437e-05
8.349783144348324e-15,6.649111049584824e-05,3.104059228251931e-05
8.778563443271917e-15,6.654970226023365e-05,3.1067945158276344e-05
9.227767174267457e-15,6.660812909911432e-05,3.10952210405137e-05
9.69829050646151e-15,6.666639182762075e-05,3.1122420309765926e-05
1.0191065529065302e-14,6.672449125430997e-05,3.114954334349885e-05
1.0707061552322163e-14,6.67824281812387e-05,3.1176590516143736e-05
1.124728645041885e-14,6.684020340403594e-05,3.120356219913115e-05
1.1812788047541487e-14,6.689781771197424e-05,3.123045876092424e-05
1.2404655548286066e-14,6.695527188804002e-05,3.1257280567051595e-05
1.3024021013661018e-14,6.701256670900305e-05,3.1284027980139636e-05
1.3672060883948982e-14,6.706970294548473e-05,3.131070135994453e-05
1.4349997549724813e-14,6.712668136202554e-05,3.133730106338363e-05
1.5059100972356956e-14,6.718350271715161e-05,3.136382744456663e-05
1.5800690355350115e-14,6.724016776344021e-05,3.1390280854826066e-05
1.657613586791865e-14,6.729667724758439e-05,3.141666164274752e-05
1.7386860422212713e-14,6.735303191045677e-05,3.1442970154199436e-05
1.823434150565056e-14,6.74092324871724e-05,3.146920673236238e-05
1.9120113069844173e-14,6.746527970715078e-05,3.149537171775811e-05
2.004576747764066e-14,6.752117429417708e-05,3.152146544827803e-05
2.1012957509833174e-14,6.757691696646235e-05,3.154748825921142e-05
2.202339843313281e-14,6.763250843670304e-05,3.1573440483273124e-05
2.307887013102793e-14,6.768794941213981e-05,3.159932245063109e-05
2.418121929919298e-14,6.774324059461532e-05,3.162513448893327e-05
2.5332361707145343e-14,6.779838268063137e-05,3.165087692333436e-05
2.6534284527889288e-14,6.785337636140525e-05,3.1676550076522065e-05
2.7789048737319932e-14,6.790822232292529e-05,3.170215426874308e-05
2.909879158520327e-14,6.796292124600577e-05,3.172768981782867e-05
3.0465729139583996e-14,6.801747380634101e-05,3.1753157039219945e-05
3.189215890651656e-14,6.807188067455869e-05,3.177855624599277e-05
3.3380462527053784e-14,6.812614251627259e-05,3.180388774888239e-05
3.493310855346842e-14,6.818025999213462e-05,3.1829151856307676e-05
3.6552655306728615e-14,6.823423375788598e-05,3.1854348874395055e-05
3.824175381728707e-14,6.82880644644079e-05,3.187947910700217e-05
4.000315085128938e-14,6.834175275777152e-05,3.190454285574122e-05
4.183969202435358e-14,6.839529927928724e-05,3.19295404200019e-05
4.375432500511465e-14,6.844870466555337e-05,3.1954472096974245e-05
4.575010281077375e-14,6.850196954850406e-05,3.197933818167087e-05
4.7830187196942994e-14,6.85550945554569e-05,3.200413896694931e-05
